,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
0,Satılık,190,5-10,20,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,168,4+1,1. Kat,Klimalı,Krediye Uygun,Hayır,Var,Genel Fiyat,18000000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
1,Satılık,300,21 Ve Üzeri,2,Kiracı Oturuyor,Bilinmiyor,Yok,3,Konut,270,5+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,8500000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938
2,Satılık,350,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,320,5+2,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,16500000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938
3,Satılık,450,5-10,4,Kiracı Oturuyor,Bilinmiyor,Yok,3,Konut,400,6+2,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,22000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
4,Satılık,160,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,140,3+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,4250000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
5,Satılık,65,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,55,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,875000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
6,Satılık,350,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,Konut,300,5+1,6. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,28000000,İstanbul,Beşiktaş,Sinanpaşa Mahallesi,Avrupa Yakası,0.911,178.938
7,Satılık,90,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,85,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1250000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938
8,Satılık,160,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,130,3+1,8. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,4950000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
9,Satılık,190,16-20,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,170,4+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,7600000,İstanbul,Beşiktaş,Yıldız Mahallesi,Avrupa Yakası,0.911,178.938
10,Satılık,270,5-10,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,260,5+2,Çatı Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,8500000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938
11,Satılık,200,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,160,4+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,2500000,İstanbul,Beşiktaş,Gayrettepe Mahallesi,Avrupa Yakası,0.911,178.938
12,Satılık,200,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,175,3+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Ortaköy Mahallesi,Avrupa Yakası,0.911,178.938
13,Satılık,236,0,6,Boş,Bilinmiyor,Yok,3,Konut,202,4+1,4. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,21000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
14,Satılık,420,4,6,Boş,Bilinmiyor,Yok,4,Konut,280,5+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,35000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
15,Satılık,168,2,6,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,125,2+1,2. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,10500000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
16,Satılık,212,2,6,Boş,Bilinmiyor,Yok,2,Konut,176,3+1,3. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,18200000,İstanbul,Beşiktaş,Mecidiye Mahallesi,Avrupa Yakası,0.911,178.938
17,Satılık,130,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,3,Konut,120,4+1,Düz Giriş,Sobalı,Krediye Uygun,Hayır,Var,Genel Fiyat,2000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938
18,Satılık,120,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,100,2.5+1,Yüksek Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3800000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938
19,Satılık,600,4,14,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,3,Konut,550,5+1,11. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,80000000,İstanbul,Beşiktaş,Bebek Mahallesi,Avrupa Yakası,0.911,178.938
20,Satılık,180,21 Ve Üzeri,3,Boş,Bilinmiyor,Yok,2,Konut,165,3+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,17000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938
21,Satılık,240,0,7,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,200,4+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,9000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938
22,Satılık,130,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,1,Konut,125,3+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,2000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938
23,Satılık,130,21 Ve Üzeri,5,Boş,Bilinmiyor,Var,1,Konut,125,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1525000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938
24,Satılık,80,21 Ve Üzeri,3,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,75,2+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1150000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938
25,Satılık,70,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,55,1+1,5. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,2100000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938
26,Satılık,650,5-10,3,Boş,Bilinmiyor,Yok,5,Konut,500,6+1,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,110000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938
27,Satılık,260,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,3,Konut,250,4+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,42000000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938
28,Satılık,240,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,220,4+2,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,14000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
29,Satılık,320,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,3,Konut,300,5+1,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,16000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
30,Satılık,180,21 Ve Üzeri,6,Boş,Bilinmiyor,Yok,2,Konut,175,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,17000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
31,Satılık,125,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,1,Konut,120,3+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3250000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938
32,Satılık,210,5-10,4,Kiracı Oturuyor,Bilinmiyor,Yok,3,Konut,200,3+1,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,7500000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
33,Satılık,175,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,2,Konut,170,3+1,Yüksek Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,11000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938
34,Satılık,110,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,100,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
35,Satılık,350,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,Konut,340,6+2,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,11000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
36,Satılık,100,16-20,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,90,2+1,Yüksek Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,7000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
37,Satılık,230,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,220,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,14000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938
38,Satılık,130,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,110,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Abbasağa Mahallesi,Avrupa Yakası,0.911,178.938
39,Satılık,120,0,4,Boş,Bilinmiyor,Yok,2,Konut,105,3+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3100000,İstanbul,Beşiktaş,Sinanpaşa Mahallesi,Avrupa Yakası,0.911,178.938
40,Satılık,150,0,5,Boş,Bilinmiyor,Yok,2,Konut,140,3+1,5. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,7500000,İstanbul,Beşiktaş,Cihannüma Mahallesi,Avrupa Yakası,0.911,178.938
41,Satılık,80,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,75,2+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1200000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938
42,Satılık,85,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,80,2+1,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
43,Satılık,80,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,70,1+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938
44,Satılık,200,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,160,4+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,2500000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938
45,Satılık,120,0,7,Boş,Bilinmiyor,Yok,1,Konut,100,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938
46,Satılık,110,0,7,Boş,Bilinmiyor,Yok,1,Konut,95,3+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
47,Satılık,380,5-10,24,Kiracı Oturuyor,Bilinmiyor,Yok,4,Konut,350,5+1,16. Kat,Yerden Isıtma,Krediye Uygun,Hayır,Var,Genel Fiyat,40000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
48,Satılık,220,4,17,Boş,Bilinmiyor,Yok,3,Konut,200,3+1,6. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,30000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
49,Satılık,217,0,22,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,185,2+1,7. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,25000000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
50,Satılık,221,0,29,Boş,Bilinmiyor,Yok,3,Konut,160,3+1,15. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,30000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938
51,Satılık,180,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,Konut,179,3+1,Düz Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,8600000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938
52,Satılık,220,4,22,Boş,Bilinmiyor,Yok,3,Konut,200,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,33000000,İstanbul,Beşiktaş,Gayrettepe Mahallesi,Avrupa Yakası,0.911,178.938
53,Satılık,120,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,110,2+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1750000,İstanbul,Beşiktaş,Yıldız Mahallesi,Avrupa Yakası,0.911,178.938
54,Satılık,115,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Yatırıma Uygun değil,Var,1,Konut,100,2+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,5450000,İstanbul,Beşiktaş,Cihannüma Mahallesi,Avrupa Yakası,0.911,178.938
55,Satılık,95,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,80,2+1,5. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,2400000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938
56,Satılık,190,0,5,Boş,Bilinmiyor,Yok,2,Konut,150,3+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,9400000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938
57,Satılık,340,21 Ve Üzeri,2,Boş,Bilinmiyor,Yok,3,Konut,300,5+1,Villa Tipi,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,40000000,İstanbul,Beşiktaş,Bebek Mahallesi,Avrupa Yakası,0.911,178.938
58,Satılık,890,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,0,Konut,889,1 Oda,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,Var,Genel Fiyat,98000000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938
59,Satılık,600,5-10,22,Boş,Bilinmiyor,Yok,5,Konut,470,5+1,17. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,118000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938
60,Satılık,421,21 Ve Üzeri,3,Boş,Bilinmiyor,Yok,0,Konut,420,8+ Oda,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,12500000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938
