,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
0,0,190,8,20,1,0,1,3,0,168,10,0,2,1,1,0,2,18000000,0,6,130,1,0.911,178.938
1,0,300,5,2,1,0,1,4,0,270,13,32,0,1,1,0,2,8500000,0,6,7,1,0.911,178.938
2,0,350,5,3,2,0,1,3,0,320,14,33,0,1,1,0,2,16500000,0,6,115,1,0.911,178.938
3,0,450,8,4,1,0,1,4,0,400,17,33,0,1,1,0,2,22000000,0,6,114,1,0.911,178.938
4,0,160,5,2,2,0,1,1,0,140,7,0,0,1,1,0,2,4250000,0,6,130,1,0.911,178.938
5,0,65,5,4,2,0,1,1,0,55,4,32,0,1,1,0,2,875000,0,6,16,1,0.911,178.938
6,0,350,5,6,2,0,1,5,0,300,13,28,0,1,1,0,2,28000000,0,6,149,1,0.911,178.938
7,0,90,5,7,2,0,1,1,0,85,4,32,0,1,1,0,2,1250000,0,6,68,1,0.911,178.938
8,0,160,5,9,2,0,1,1,0,130,7,30,0,1,1,0,2,4950000,0,6,130,1,0.911,178.938
9,0,190,3,5,2,0,1,3,0,170,10,12,0,1,1,0,2,7600000,0,6,181,1,0.911,178.938
10,0,270,8,2,2,0,1,3,0,260,14,42,0,1,1,0,2,8500000,0,6,60,1,0.911,178.938
11,0,200,5,5,2,0,1,3,0,160,10,26,0,1,1,0,2,2500000,0,6,80,1,0.911,178.938
12,0,200,5,6,2,0,1,3,0,175,7,12,0,1,1,0,2,3650000,0,6,133,1,0.911,178.938
13,0,236,0,6,0,0,1,4,0,202,10,26,0,2,1,0,2,21000000,0,6,114,1,0.911,178.938
14,0,420,7,6,0,0,1,5,0,280,13,32,0,1,1,0,2,35000000,0,6,114,1,0.911,178.938
15,0,168,4,6,1,0,1,3,0,125,4,12,0,2,1,0,2,10500000,0,6,114,1,0.911,178.938
16,0,212,4,6,0,0,1,3,0,176,7,23,0,2,1,0,2,18200000,0,6,120,1,0.911,178.938
17,0,130,5,3,2,0,1,4,0,120,10,33,3,1,1,0,2,2000000,0,6,115,1,0.911,178.938
18,0,120,5,5,1,0,1,1,0,100,6,40,0,1,1,0,2,3800000,0,6,7,1,0.911,178.938
19,0,600,7,14,2,0,1,4,0,550,13,3,0,1,1,0,2,80000000,0,6,43,1,0.911,178.938
20,0,180,5,3,0,0,1,3,0,165,7,12,0,1,1,0,2,17000000,0,6,7,1,0.911,178.938
21,0,240,0,7,1,0,1,3,0,200,10,0,0,1,1,0,2,9000000,0,6,115,1,0.911,178.938
22,0,130,5,5,0,0,1,1,0,125,7,0,0,1,1,0,2,2000000,0,6,115,1,0.911,178.938
23,0,130,5,5,0,0,0,1,0,125,7,23,0,1,1,0,2,1525000,0,6,160,1,0.911,178.938
24,0,80,5,3,1,0,1,1,0,75,4,23,0,1,1,0,2,1150000,0,6,60,1,0.911,178.938
